name,name_thai,year,release_date,members,center
Aitakatta,อยากจะได้พบเธอ,1,8/8/17,เฌอปราง อารีย์กุล;นายิกา ศรีเนียน;ณปภัช วรพฤทธานนท์;เจตสุภา เครือแตง;เจนนิษฐ์ โอ่ประเสริฐ;ณัฐรุจา ชุติวรรณโสภณ;วรัทยา ดีสมเลิศ;มิโอริ โอคุโบะ;แพรวา สุธรรมพงษ์;คริสติน ลาร์เซ่น;มิลิน ดอกเทียน;กานต์ธีรา วัชรทัศนกุล;พัศชนันท์ เจียจิรโชติ;ปัญสิกรณ์ ติยะกร;สวิชญา ขจรรุ่งศิลป์;อิสราภา ธวัชภักดี,แพรวา สุธรรมพงษ์
Oogoe Diamond,ก็ชอบให้รู้ว่าชอบ,1,8/8/17,เฌอปราง อารีย์กุล;นายิกา ศรีเนียน;ณปภัช วรพฤทธานนท์;เจตสุภา เครือแตง;เจนนิษฐ์ โอ่ประเสริฐ;ณัฐรุจา ชุติวรรณโสภณ;วรัทยา ดีสมเลิศ;มิโอริ โอคุโบะ;แพรวา สุธรรมพงษ์;คริสติน ลาร์เซ่น;มิลิน ดอกเทียน;กานต์ธีรา วัชรทัศนกุล;พัศชนันท์ เจียจิรโชติ;ปัญสิกรณ์ ติยะกร;สวิชญา ขจรรุ่งศิลป์;อิสราภา ธวัชภักดี,แพรวา สุธรรมพงษ์
365 Nichi no Kamihikouki,365 วันกับเครื่องบินกระดาษ,1,8/8/17,เฌอปราง อารีย์กุล;นายิกา ศรีเนียน;ณปภัช วรพฤทธานนท์;เจตสุภา เครือแตง;เจนนิษฐ์ โอ่ประเสริฐ;ณัฐรุจา ชุติวรรณโสภณ;วรัทยา ดีสมเลิศ;มิโอริ โอคุโบะ;แพรวา สุธรรมพงษ์;คริสติน ลาร์เซ่น;มิลิน ดอกเทียน;กานต์ธีรา วัชรทัศนกุล;พัศชนันท์ เจียจิรโชติ;ปัญสิกรณ์ ติยะกร;สวิชญา ขจรรุ่งศิลป์;อิสราภา ธวัชภักดี,เจนนิษฐ์ โอ่ประเสริฐ
Koisuru Fortune Cookie,คุกกี้เสี่ยงทาย,1,14/12/17,เฌอปราง อารีย์กุล;รินะ อิซึตะ;เจตสุภา เครือแตง;เจนนิษฐ์ โอ่ประเสริฐ;ณัฐรุจา ชุติวรรณโสภณ;วรัทยา ดีสมเลิศ;มิโอริ โอคุโบะ;พิมรภัส ผดุงวัฒนะโชค;แพรวา สุธรรมพงษ์;มิลิน ดอกเทียน;กานต์ธีรา วัชรทัศนกุล;พัศชนันท์ เจียจิรโชติ;ปัญสิกรณ์ ติยะกร;จิรดาภา อินทจักร;สวิชญา ขจรรุ่งศิลป์;อิสราภา ธวัชภักดี,พิมรภัส ผดุงวัฒนะโชค
BNK48,,1,14/12/17,เฌอปราง อารีย์กุล;รินะ อิซึตะ;เจตสุภา เครือแตง;เจนนิษฐ์ โอ่ประเสริฐ;ณัฐรุจา ชุติวรรณโสภณ;วรัทยา ดีสมเลิศ;มิโอริ โอคุโบะ;พิมรภัส ผดุงวัฒนะโชค;แพรวา สุธรรมพงษ์;มิลิน ดอกเทียน;กานต์ธีรา วัชรทัศนกุล;พัศชนันท์ เจียจิรโชติ;ปัญสิกรณ์ ติยะกร;จิรดาภา อินทจักร;สวิชญา ขจรรุ่งศิลป์;อิสราภา ธวัชภักดี,เฌอปราง อารีย์กุล
Skirt;Hirari,พลิ้ว,1,14/12/17,ณปภัช วรพฤทธานนท์;กุลจิราณัฐ อินทรศิลป์;สุชญา แสนโคต;กรภัทร์ นิลประภา;ปณิศา ศรีละเลิง;พิชญาภา นาถา;มนัญญา เกาะจู,ณปภัช วรพฤทธานนท์;ปณิศา ศรีละเลิง
Shonichi,วันแรก,1,28/3/18,เฌอปราง อารีย์กุล;ณปภัช วรพฤทธานนท์;กุลจิราณัฐ อินทรศิลป์;เจนนิษฐ์ โอ่ประเสริฐ;ณัฐรุจา ชุติวรรณโสภณ;วรัทยา ดีสมเลิศ;วฑูศิริ ภูวปัญญาสิริ;พิมรภัส ผดุงวัฒนะโชค;แพรวา สุธรรมพงษ์;มิลิน ดอกเทียน;กานต์ธีรา วัชรทัศนกุล;พัศชนันท์ เจียจิรโชติ;ปัญสิกรณ์ ติยะกร;จิรดาภา อินทจักร;สวิชญา ขจรรุ่งศิลป์;อิสราภา ธวัชภักดี,แพรวา สุธรรมพงษ์;กานต์ธีรา วัชรทัศนกุล
Sakura no Hanabiratachi,ความทรงจำและคำอำลา,1,28/3/18,เฌอปราง อารีย์กุล;ณปภัช วรพฤทธานนท์;กุลจิราณัฐ อินทรศิลป์;เจนนิษฐ์ โอ่ประเสริฐ;ณัฐรุจา ชุติวรรณโสภณ;วรัทยา ดีสมเลิศ;วฑูศิริ ภูวปัญญาสิริ;พิมรภัส ผดุงวัฒนะโชค;แพรวา สุธรรมพงษ์;มิลิน ดอกเทียน;กานต์ธีรา วัชรทัศนกุล;พัศชนันท์ เจียจิรโชติ;ปัญสิกรณ์ ติยะกร;จิรดาภา อินทจักร;สวิชญา ขจรรุ่งศิลป์;อิสราภา ธวัชภักดี,
Namida Surprise!,ประกายน้ำตาและรอยยิ้ม,1,28/3/18,เฌอปราง อารีย์กุล;นายิกา ศรีเนียน;รินะ อิซึตะ;เจนนิษฐ์ โอ่ประเสริฐ;กรภัทร์ นิลประภา;วฑูศิริ ภูวปัญญาสิริ;มิโอริ โอคุโบะ;พิมรภัส ผดุงวัฒนะโชค;แพรวา สุธรรมพงษ์;พิชญาภา นาถา;กานต์ธีรา วัชรทัศนกุล;พัศชนันท์ เจียจิรโชติ;ปัญสิกรณ์ ติยะกร;อิสราภา ธวัชภักดี;มนัญญา เกาะจู;รินรดา อินทร์ไธสง,อิสราภา ธวัชภักดี
Anata to Christmas Eve,คำสัญญาแห่งคริสต์มาสอีฟ,1,28/3/18,ณัฐรุจา ชุติวรรณโสภณ;เจตสุภา เครือแตง,
